,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
206,5,AGK,1.0,4239.0,1748.0,1421.0,1820,BMW,1er Reihe,187,2660.0,0.08695652173913043,5.0,1,222.0,PETROL
214,5,AGS,2.0,4569.0,1853.0,1674.0,2200,BMW,X Reihe,X83,2795.0,0.06358381502890173,5.0,1,198.0,PETROL
215,5,AGT,1.0,5179.0,1902.0,1484.0,3830,BMW,7er Reihe,767P,3128.0,0.07122093023255814,4.0,1,210.0,PETROL
216,5,AGU,1.0,5179.0,1902.0,1484.0,3930,BMW,7er Reihe,767P,3128.0,0.0923728813559322,4.0,1,210.0,PETROL
218,5,AGW,1.0,4580.0,1782.0,1395.0,1880,BMW,3er Reihe,392C,2760.0,0.09380234505862646,4.0,1,235.0,PETROL
219,5,AGX,1.0,4820.0,1855.0,1374.0,2100,BMW,6er Reihe,663C,2780.0,0.1569767441860465,4.0,1,250.0,PETROL
220,5,AGY,1.0,4820.0,1855.0,1373.0,2120,BMW,6er Reihe,663C,2780.0,0.10614525139664804,4.0,1,250.0,PETROL
221,5,AGZ,1.0,4820.0,1855.0,1373.0,1960,BMW,6er Reihe,663C,2780.0,0.12025316455696203,4.0,1,250.0,PETROL
222,5,AHA,1.0,4820.0,1855.0,1374.0,2260,BMW,6er Reihe,663C,2780.0,0.13989637305699482,4.0,1,250.0,PETROL
223,5,AHB,2.0,4843.0,1846.0,1491.0,2300,BMW,5er Reihe,560X,2886.0,0.1074964639321075,5.0,1,245.0,PETROL
224,5,AHC,2.0,4843.0,1846.0,1491.0,2300,BMW,5er Reihe,560X,2886.0,0.09052333804809053,5.0,1,232.0,PETROL
225,5,AHD,2.0,4841.0,1846.0,1482.0,2165,BMW,5er Reihe,560X,2888.0,0.09566517189835576,5.0,1,237.0,PETROL
226,5,AHE,2.0,4841.0,1846.0,1482.0,2165,BMW,5er Reihe,560X,2888.0,0.11360239162929746,5.0,1,250.0,PETROL
227,5,AHF,2.0,4854.0,1933.0,1776.0,3000,BMW,X Reihe,X70,2933.0,0.11796610169491525,7.0,1,245.0,PETROL
230,5,AHI,1.0,4580.0,1782.0,1384.0,2115,BMW,3er Reihe,392C,2760.0,0.09169054441260745,4.0,1,245.0,PETROL
231,5,AHJ,1.0,4580.0,1782.0,1384.0,2115,BMW,3er Reihe,392C,2760.0,0.08882521489971347,4.0,1,243.0,PETROL
232,5,AHK,1.0,4580.0,1782.0,1384.0,2180,BMW,3er Reihe,392C,2760.0,0.12379642365887207,4.0,1,250.0,PETROL
233,5,AHL,1.0,4580.0,1782.0,1384.0,2055,BMW,3er Reihe,392C,2760.0,0.07418397626112759,4.0,1,228.0,PETROL
234,5,AHM,1.0,4580.0,1782.0,1384.0,2055,BMW,3er Reihe,392C,2760.0,0.0712166172106825,4.0,1,226.0,PETROL
235,5,AHN,1.0,4580.0,1782.0,1384.0,2150,BMW,3er Reihe,392C,2760.0,0.11188811188811189,4.0,1,250.0,PETROL
238,5,AHQ,1.0,4580.0,1782.0,1395.0,1840,BMW,3er Reihe,392C,2760.0,0.08620689655172414,4.0,1,230.0,PETROL
239,5,AHR,1.0,4580.0,1782.0,1395.0,1840,BMW,3er Reihe,392C,2760.0,0.08275862068965517,4.0,1,228.0,PETROL
240,5,AHS,1.0,3699.0,1683.0,1407.0,1550,MINI,MINI,MINI-N,2467.0,0.06060606060606061,4.0,1,185.0,PETROL
242,5,AHU,2.0,4854.0,1933.0,1776.0,2900,BMW,X Reihe,X70,2933.0,0.09523809523809523,7.0,1,225.0,PETROL
246,5,AHZ,1.0,4841.0,1846.0,1468.0,2085,BMW,5er Reihe,560L,2888.0,0.08818897637795275,5.0,1,237.0,PETROL
247,5,AIA,1.0,4841.0,1846.0,1468.0,2090,BMW,5er Reihe,560L,2888.0,0.10031347962382445,5.0,1,248.0,PETROL
248,5,AIB,1.0,4841.0,1846.0,1468.0,2100,BMW,5er Reihe,560L,2888.0,0.12422360248447205,5.0,1,250.0,PETROL
252,5,AIF,1.0,4843.0,1846.0,1491.0,2220,BMW,5er Reihe,560L,2886.0,0.08333333333333333,5.0,1,230.0,PETROL
253,5,AIG,1.0,4843.0,1846.0,1491.0,2230,BMW,5er Reihe,560L,2886.0,0.09453471196454949,5.0,1,248.0,PETROL
254,5,AIH,1.0,4843.0,1846.0,1491.0,2230,BMW,5er Reihe,560L,2886.0,0.11764705882352941,5.0,1,250.0,PETROL
258,5,AIL,1.0,4841.0,1846.0,1468.0,2385,BMW,5er Reihe,560L,2888.0,0.10430247718383312,5.0,1,240.0,PETROL
259,5,AIM,1.0,4841.0,1846.0,1468.0,2090,BMW,5er Reihe,560L,2888.0,0.09717868338557993,5.0,1,245.0,PETROL
260,5,AIN,1.0,4843.0,1846.0,1491.0,2230,BMW,5er Reihe,560L,2886.0,0.0915805022156573,5.0,1,245.0,PETROL
261,5,AIO,2.0,4841.0,1846.0,1482.0,2205,BMW,5er Reihe,560X,2888.0,0.0935672514619883,5.0,1,240.0,PETROL
262,5,AIP,2.0,4841.0,1846.0,1482.0,2215,BMW,5er Reihe,560X,2888.0,0.11627906976744186,5.0,1,250.0,PETROL
264,5,AIR,2.0,4843.0,1846.0,1491.0,2340,BMW,5er Reihe,560X,2886.0,0.0886426592797784,5.0,1,233.0,PETROL
265,5,AIS,2.0,4843.0,1846.0,1491.0,2335,BMW,5er Reihe,560X,2886.0,0.11080332409972299,5.0,1,246.0,PETROL
267,5,AIU,2.0,4531.0,1817.0,1421.0,2180,BMW,3er Reihe,390X,2760.0,0.13024602026049203,5.0,1,250.0,PETROL
268,5,AIV,2.0,4527.0,1817.0,1418.0,2270,BMW,3er Reihe,390X,2760.0,0.12517385257301808,5.0,1,250.0,PETROL
270,5,AIX,1.0,4580.0,1782.0,1384.0,2115,BMW,3er Reihe,392C,2760.0,0.09169054441260745,4.0,1,242.0,PETROL
271,5,AIY,1.0,4841.0,1846.0,1468.0,2030,BMW,5er Reihe,560L,2888.0,0.08064516129032258,5.0,1,224.0,PETROL
272,5,AIZ,1.0,4843.0,1846.0,1491.0,2190,BMW,5er Reihe,560L,2886.0,0.07575757575757576,5.0,1,220.0,PETROL
273,5,AJA,1.0,4841.0,1846.0,1468.0,2030,BMW,5er Reihe,560L,2888.0,0.07741935483870968,5.0,1,221.0,PETROL
274,5,AJB,1.0,4843.0,1846.0,1491.0,2190,BMW,5er Reihe,560L,2886.0,0.07272727272727272,5.0,1,217.0,PETROL
281,5,AJI,1.0,3958.0,1683.0,1432.0,1715,MINI,MINI,MINI-N,2547.0,0.09903288201160541,5.0,1,224.0,PETROL
282,5,AJJ,1.0,3937.0,1683.0,1426.0,1685,MINI,MINI,MINI-N,2547.0,0.07096774193548387,5.0,1,201.0,PETROL
283,5,AJK,1.0,3958.0,1683.0,1432.0,1715,MINI,MINI,MINI-N,2547.0,0.09284332688588008,5.0,1,220.0,PETROL
284,5,AJL,1.0,3937.0,1683.0,1426.0,1685,MINI,MINI,MINI-N,2547.0,0.06854838709677419,5.0,1,199.0,PETROL
285,5,AJM,1.0,4239.0,1748.0,1421.0,1820,BMW,1er Reihe,187,2660.0,0.08333333333333333,5.0,1,215.0,PETROL
286,5,AJN,1.0,4239.0,1748.0,1421.0,1800,BMW,1er Reihe,187,2660.0,0.07366482504604052,5.0,1,208.0,PETROL
290,5,AJR,1.0,4580.0,1782.0,1384.0,2055,BMW,3er Reihe,392C,2760.0,0.06824925816023739,4.0,1,216.0,PETROL
291,5,AJS,1.0,4580.0,1782.0,1395.0,1840,BMW,3er Reihe,392C,2760.0,0.07931034482758621,4.0,1,220.0,PETROL
293,5,AJU,1.0,4531.0,1817.0,1421.0,2015,BMW,3er Reihe,390L,2760.0,0.1282051282051282,5.0,1,250.0,PETROL
294,5,AJV,1.0,4527.0,1817.0,1418.0,2050,BMW,3er Reihe,390L,2760.0,0.08945686900958466,5.0,1,231.0,PETROL
295,5,AJW,1.0,4531.0,1817.0,1421.0,1965,BMW,3er Reihe,390L,2760.0,0.09302325581395349,5.0,1,233.0,PETROL
296,5,AJX,1.0,4527.0,1817.0,1418.0,2095,BMW,3er Reihe,390L,2760.0,0.12326656394453005,5.0,1,250.0,PETROL
297,5,AJY,1.0,4239.0,1748.0,1421.0,1790,BMW,1er Reihe,187,2660.0,0.06604823747680891,5.0,1,204.0,PETROL
298,5,AJZ,1.0,4239.0,1748.0,1421.0,1790,BMW,1er Reihe,187,2660.0,0.06679035250463822,5.0,1,204.0,PETROL
300,5,AKB,1.0,4360.0,1748.0,1408.0,1930,BMW,1er Reihe,182,2660.0,0.144,4.0,1,250.0,PETROL
304,5,AKF,1.0,4820.0,1855.0,1374.0,1990,BMW,6er Reihe,663C,2780.0,0.12422360248447205,4.0,1,250.0,PETROL
305,5,AKG,1.0,4820.0,1855.0,1374.0,2150,BMW,6er Reihe,663C,2780.0,0.10989010989010989,4.0,1,250.0,PETROL
310,5,AKL,2.0,4569.0,1853.0,1674.0,2200,BMW,X Reihe,X83,2795.0,0.06358381502890173,5.0,1,198.0,PETROL
311,5,AKM,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.08803301237964237,5.0,1,221.0,PETROL
312,5,AKN,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.08528198074277854,5.0,1,219.0,PETROL
316,5,AKR,2.0,4569.0,1853.0,1674.0,2300,BMW,X Reihe,X83,2795.0,0.1094391244870041,5.0,1,232.0,PETROL
319,5,AKU,1.0,4580.0,1782.0,1395.0,1930,BMW,3er Reihe,392C,2760.0,0.10596026490066225,4.0,1,250.0,PETROL
320,5,AKV,1.0,4580.0,1782.0,1395.0,1930,BMW,3er Reihe,392C,2760.0,0.10264900662251655,4.0,1,250.0,PETROL
321,5,AKW,1.0,4580.0,1782.0,1395.0,1800,BMW,3er Reihe,392C,2760.0,0.06315789473684211,4.0,1,210.0,PETROL
325,5,ALA,1.0,4531.0,1817.0,1421.0,1980,BMW,3er Reihe,390L,2760.0,0.10526315789473684,5.0,1,250.0,PETROL
326,5,ALB,1.0,4531.0,1817.0,1421.0,1980,BMW,3er Reihe,390L,2760.0,0.10197368421052631,5.0,1,248.0,PETROL
327,5,ALC,1.0,4531.0,1817.0,1421.0,1900,BMW,3er Reihe,390L,2760.0,0.0625,5.0,1,210.0,PETROL
328,5,ALD,1.0,4531.0,1817.0,1421.0,1910,BMW,3er Reihe,390L,2760.0,0.07241379310344828,5.0,1,210.0,PETROL
329,5,ALE,1.0,4531.0,1817.0,1421.0,1910,BMW,3er Reihe,390L,2760.0,0.06896551724137931,5.0,1,210.0,PETROL
330,5,ALF,1.0,4531.0,1817.0,1421.0,1920,BMW,3er Reihe,390L,2760.0,0.08561643835616438,5.0,1,228.0,PETROL
331,5,ALG,1.0,4531.0,1817.0,1421.0,1920,BMW,3er Reihe,390L,2760.0,0.0821917808219178,5.0,1,225.0,PETROL
