abi_code,INFORCE,MARKET_QTY
3502901, -   ,98
3503001, -   ,41
3503101, -   ,"2,657"
3503102, -   ,408
3503201, -   ,24
3503202, -   ,89
3503301, -   ,73
3503401,1,"1,916"
3503402, -   ,73
3503501, -   ,"1,580"
3503502, -   ,92
3503503, -   ,197
3503601, -   ,184
3503602, -   ,207
3503701, -   ,0
3503702, -   ,0
3503801, -   ,133
3503802, -   ,83
3503901, -   ,597
3504001, -   ,211
3504101, -   ,78
3504201, -   ,196
3504202, -   ,277
3504301, -   ,594
3504302, -   ,726
3504401, -   ,342
3504402, -   ,443
3504501, -   ,577
3504601, -   ,323
3504701, -   ,9
3504801, -   ,3
3504802, -   ,248
3504901, -   ,0
3504902, -   ,0
3505001,3,68
3505002,14,122
3505101, -   ,333
3505102, -   ,0
3505201, -   ,209
3505301, -   ,84
3505401, -   ,8
3505402, -   ,12
3505501, -   ,69
3505502, -   ,117
3505901, -   ,36
3506401, -   ,240
3506402, -   ,51
3506901, -   ,10
3506902, -   ,3
3511001, -   ,0
3511101, -   ,0
3511201, -   ,0
3511301, -   ,0
3511401, -   ,0
3511501, -   ,40
3511502, -   ,62
3511503, -   ,28
3511504, -   ,311
3511505, -   ,12
3511506, -   ,221
3511507, -   ,159
3511508, -   ,99
3511509, -   ,21
3511510, -   ,8
3511511, -   ,"2,175"
3511512, -   ,0
3511513, -   ,0
3511514, -   ,0
3511515, -   ,137
3511516, -   ,2
3511517, -   ,91
3511518, -   ,49
3511519, -   ,66
3511520, -   ,1
3511521, -   ,2
3511522, -   ,135
3511523, -   ,95
