,Manufacturer Identification Number,Model Identification Numer,HSN_TSN,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
36096,1329,ALH,1329_ALH,1,4999,1956,2000,3020,WESTFALIA,Michelangelo M1,95,3098,0.043258540529613906,6,2,177, Diesel
36097,1329,ALI,1329_ALI,1,4999,1956,2000,3020,WESTFALIA,Michelangelo M1,95,3098,0.03719425914695775,6,2,169, Diesel
36098,1329,ALJ,1329_ALJ,1,4999,1956,2000,2960,WESTFALIA,Michelangelo N1,96,3098,0.042570121344738414,6,2,183, Diesel
36099,1329,ALK,1329_ALK,1,4999,1956,2000,2960,WESTFALIA,Michelangelo N1,96,3098,0.03660234732444798,6,2,177, Diesel
36100,1329,ALL,1329_ALL,1,4999,1956,2000,2940,WESTFALIA,Michelangelo N1,96,3098,0.03555022967845017,6,2,163, Diesel
36101,1329,ALM,1329_ALM,1,4135,1765,1565,1690,NISSAN,Nissan Juke,F15,2530,0.06384615384615384,5,1,178,Petrol
36102,1329,ALN,1329_ALN,1,4394,1806,1624,1955,NISSAN,NISSAN QASHQAI,J11,2646,0.05581089954038083,5,2,181, Diesel
36109,1337,AAB,1337_AAB,,2065,1160,1310,520,"DB,CSR,KANUNI",,DBATV500,1285,0.03943661971830986,2,1,85,Petrol
36112,1343,AAA,1343_AAA,,2200,830,1140,283,KREIDLER,"SUPERMOTO,ENDURO",KR001Q,1405,0.06015037593984962,2,1,101,Petrol
36113,1343,AAB,1343_AAB,,2200,830,1140,278,KREIDLER,"SUPERMOTO,ENDURO",KR001Q,1405,0.046875,2,1,80,Petrol
36122,1343,AAL,1343_AAL,,2140,800,1410,327,KREIDLER,INSIGNIO 2.0 125 DD,T74,1490,0.05232558139534884,2,1,100,Petrol
36123,1343,AAM,1343_AAM,,2140,800,1410,344,KREIDLER,INSIGNIO 2.0 250 DD,T74,1490,0.08247422680412371,2,1,115,Petrol
36128,1349,AAA,1349_AAA,1,4500,1775,1565,1820,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.0573984345881476,5,1,185,Petrol
36129,1349,AAB,1349_AAB,1,4500,1775,1565,1820,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.05963473723443906,5,1,187,Petrol
36130,1349,AAC,1349_AAC,1,4500,1775,1565,1840,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.06289308176100629,5,1,192,Petrol
36131,1349,AAD,1349_AAD,1,4500,1775,1565,1900,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.0744153082919915,5,1,205,Petrol
36132,1349,AAE,1349_AAE,1,4500,1775,1565,1920,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.045785639958376693,5,2,172, Diesel
36133,1349,AAF,1349_AAF,1,4500,1775,1565,1940,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.058843890619591555,5,2,188, Diesel
36134,1349,AAG,1349_AAG,1,4500,1775,1565,1970,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.06651147322913202,5,2,205, Diesel
36135,1349,AAH,1349_AAH,1,4500,1775,1565,1970,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.06850681742600599,5,2,205, Diesel
36136,1349,AAI,1349_AAI,1,4500,1775,1565,1840,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.06881243063263041,5,1,192,Petrol
36137,1349,AAJ,1349_AAJ,1,4500,1775,1565,1940,HYUNDAI,"i 30,i 30 CW",FDH,2700,0.06507442021460713,5,2,197, Diesel
36138,1349,AAK,1349_AAK,1,4280,1775,1480,1980,HYUNDAI,"i 30,i 30 CW",FDH,2650,0.061438380917961694,5,2,188, Diesel
36139,1349,AAL,1349_AAL,1,4068,1765,1600,1710,KIA,VENGA,YN,2615,0.05084745762711865,5,1,168,Petrol
36140,1349,AAM,1349_AAM,1,4068,1765,1600,1730,KIA,VENGA,YN,2615,0.0701219512195122,5,1,182,Petrol
36141,1349,AAN,1349_AAN,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.039511494252873564,5,2,157, Diesel
36142,1349,AAO,1349_AAO,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.047311827956989246,5,2,167, Diesel
36143,1349,AAP,1349_AAP,1,4068,1765,1600,1810,KIA,VENGA,YN,2615,0.06047669868374244,5,2,182, Diesel
36144,1349,AAQ,1349_AAQ,1,4068,1765,1600,1810,KIA,VENGA,YN,2615,0.06688011383849164,5,2,185, Diesel
36145,1349,AAR,1349_AAR,1,4068,1765,1600,1710,KIA,VENGA,YN,2615,0.05194805194805195,4,1,168,Petrol
36146,1349,AAS,1349_AAS,1,4068,1765,1600,1730,KIA,VENGA,YN,2615,0.07162319968859479,4,1,182,Petrol
36147,1349,AAT,1349_AAT,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.04030780505679736,4,2,157, Diesel
36148,1349,AAU,1349_AAU,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.04826325411334552,4,2,167, Diesel
36149,1349,AAV,1349_AAV,1,4068,1765,1600,1810,KIA,VENGA,YN,2615,0.061683599419448475,4,2,182, Diesel
36150,1349,AAW,1349_AAW,1,4068,1765,1600,1810,KIA,VENGA,YN,2615,0.06821480406386067,4,2,185, Diesel
36151,1349,AAX,1349_AAX,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.04086021505376344,5,2,160, Diesel
36152,1349,AAY,1349_AAY,1,4068,1765,1600,1800,KIA,VENGA,YN,2615,0.041681901279707494,4,2,160, Diesel
